"Nível 1","Nível 2","Nível 3","Nível 4","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Vegetação Herbácea e Arbustiva","Afloramento Rochoso","","","1654487.0447550637","1653867.109108152","1653922.9082006998","1653956.0975283326","1654288.9092346905","1655546.930520355","1656219.8954582934","1655580.122266999","1655634.7463566468","1654649.230657289","1654597.2521730294","1654868.4392486624","1655228.2469935862","1656029.019566918","1657298.4893261637","1658483.1159641244","1659943.170300812","1661139.2093415314","1661443.7103975085","1661515.6591264855","1661684.0287184028","1661152.2045823538","1660352.1301347597","1659031.896207195","1658586.0868912288","1658230.0097782135","1657947.6980216636","1657647.3055995817","1657931.0385592056","1659463.5200983677","1660404.9288991678","1660898.2478461433","1661030.75544937","1661655.8310103202","1662428.1885301361","1662720.0018654284","1663240.7368724346","1664609.187775161","1668136.7859598307","1676656.3709026005"
"Vegetação Herbácea e Arbustiva","Apicum","","","74394.21951249967","74493.39462072722","74425.15877238734","75166.28436510572","71664.50611153508","70527.89629179637","70038.5305366569","70196.72907534734","72383.9195503412","73125.60147177665","72718.68071730898","71530.53272061086","71385.77003060233","73488.60660282521","74501.67617347949","76102.9800257806","75933.43497207607","74989.05663941622","74272.25127810048","74045.10073602898","74464.97659952378","74743.16557061137","73756.01551937847","71805.50698143298","71338.62616516078","71130.66059401796","69054.34679323065","65678.17495419261","63374.61918381304","61819.14131290839","61318.070484533266","61424.76047475556","60606.9881884642","59061.667437432756","57012.575357299334","55904.25629495807","55562.33850808678","54312.111674938635","52946.32669745443","52665.42981304892"
"Agropecuária","","","","164245998.82727212","167480628.15171924","171939249.25322783","175680072.60734466","178953905.93677157","181933726.22533333","185097368.04674938","189047070.1273645","192773556.5362586","196284720.9152305","200477566.0152134","204308299.73954475","207782025.60608897","211545570.89515588","215092166.5937158","217979160.82131082","220990041.12502652","224047183.37724078","228376396.11318532","232394577.5510775","235619692.71564883","238064155.76360023","239943456.05529082","241943928.93245098","243212477.64963064","244307289.4120071","245465310.96790534","247044417.82492322","249085559.98093486","250734757.25575235","252553005.87220722","254030036.81633103","255260070.93912607","256321374.06632236","258539414.49997604","260833942.23801836","263854958.54029423","267039014.47870156","270562696.4819167","273170639.50254595"
"Agropecuária","Agricultura","","","18627719.521067675","19120138.489038724","20747918.698595833","22220327.93238994","23709574.92943261","25403342.86526754","27474803.65865093","28178825.629853666","29201761.27712061","30047396.630750895","30787082.48517233","31683535.423023872","32240528.74103172","32821627.00102709","33798054.24956753","34852782.78364109","36021224.199515425","36989213.97104656","37811089.9948189","39801716.29740113","41788871.007326975","43768183.83965127","45335238.11106718","46760044.17680353","47951910.18755711","48939858.27452162","49643751.30470378","50748785.45265508","52765858.9579031","54937438.67540956","56900695.74729957","58425848.41149942","60075461.59333908","60626455.345594764","61361322.13470183","62102178.430471316","62415371.904677324","62642433.09081339","62679252.57087354","62663151.63783123"
"Agropecuária","Agricultura","Lavoura Perene","","790113.1833066256","887717.0837982417","845242.637487652","830661.6486570945","832038.1150258669","806630.0898392398","765147.9661841476","756252.3823841977","787446.906065654","832110.5220132527","876208.9550248239","902934.2040415483","929578.4748920546","974462.7365097218","1136013.85014898","1267811.6290374354","1322406.756460554","1359561.451782178","1373892.155547812","1450905.104501799","1504049.3902035977","1548670.8434466547","1592738.6533047087","1617842.2599287205","1648677.004244152","1705461.8872615113","1794699.097972696","1874394.4790795515","2041941.4791268976","2122298.331261802","2231675.3418005886","2264072.5568138934","2281534.0223360877","2303817.1003495874","2369707.4110617195","2446441.9953392777","2457953.0541221616","2441483.3288666075","2443312.836511195","2447876.079596071"
"Agropecuária","Agricultura","Lavoura Perene","Outras Lavouras Perenes","180568.4193060546","186429.6644673581","125180.26363825655","96278.16609768657","99190.7096479424","93208.31351296348","90448.10811905455","97010.91713557713","104995.07655323528","120236.11799259727","129545.37283154349","138211.08335991472","145345.37358775822","156805.22814540612","217940.73064716297","244847.65374053016","267598.09620363975","282144.5898493317","295464.1098131122","314551.93548408325","338899.29904073884","356023.61666813376","375543.06464296073","397848.1438121522","418298.4026703288","422983.33401297574","429469.36770334555","434594.2662991563","444742.1676730262","437127.89901813725","453400.13389001304","456785.04313730315","461650.85398529953","472147.42016734066","518029.6396504022","576182.4352636272","575944.3458537895","572443.0692000398","571954.364125253","570679.1739599017"
"Agropecuária","Agricultura","Lavoura Perene","Café","494492.2217852753","594428.6214941954","619661.9699867668","630082.4155567882","626652.5398683774","599860.1609498226","562120.5340887969","541602.3510239413","544054.8497177021","544653.2197325873","560393.366744311","571586.2885966783","578421.3204413332","599984.017038258","675315.4042365922","751098.558715081","774971.1257721002","779215.6722553264","767228.6239811016","800846.8285327656","814072.5920938583","834757.9625429992","847795.3522128058","853524.4888472528","859847.1756455585","887469.7644692903","945227.0826008325","1006514.5679030134","1092327.8662120686","1154150.7600358757","1204724.2978870375","1209354.569805731","1205074.8717388632","1207404.7657905119","1224426.0100703829","1238148.9817165574","1243836.9929147","1235180.789522228","1237932.3820787733","1237621.765681241"
"Agropecuária","Agricultura","Lavoura Perene","Citrus","100243.28686448382","82843.9277659974","70469.2777537969","72819.87482580637","72840.74467612387","75788.61928027999","75175.63515936986","79331.7311569959","96484.8899618537","119389.89165870253","130340.69263060762","139349.04160234155","151314.1956024451","157115.93965246697","179279.9303288475","203973.59674525776","209607.1765259338","228028.9103999578","236500.599513971","257374.38634641544","269986.2925801242","276122.07532458095","284089.0875612258","281252.8395218342","279591.4175699981","293503.0648715111","311600.5296062532","323883.686166472","349220.5555067165","359143.5322391564","374500.1867478235","386718.5367146927","391081.07793185697","389784.9853806664","395357.3021776943","396454.28641244187","398630.85583742947","392092.471810097","391574.6774421039","397740.336608675"
"Agropecuária","Agricultura","Lavoura Perene","Dendê","14809.255350811782","24014.870070690828","29931.12610883168","31481.192176813223","33354.120833423185","37772.99609617376","37403.6888169262","38307.383067683324","41912.08983286285","47831.292629365584","55929.522818361846","53787.79048261378","54497.585260518026","60557.55167359075","63477.784936377226","67891.8198365664","70230.3579588802","70172.27927756193","74698.82223962747","78131.9541385347","81091.20648887646","81767.18891094073","85311.14888771641","85216.78774748139","90940.00835826634","101505.72390773417","108402.11806226475","109401.95871090978","155650.8897350863","171876.13996863263","199050.72327571435","211214.4071561667","223727.21868006783","234479.92901106834","231894.45916324022","235656.29194665112","239540.8595162426","241766.99833424226","241851.4128650646","241834.80334625358"
"Agropecuária","Agricultura","Lavoura Temporária","","17837606.33776105","18232421.405240484","19902676.06110818","21389666.283732846","22877536.81440674","24596712.775428303","26709655.692466784","27422573.24746947","28414314.371054955","29215286.10873764","29910873.530147508","30780601.218982324","31310950.266139667","31847164.264517367","32662040.399418548","33584971.15460366","34698817.44305487","35629652.519264385","36437197.83927109","38350811.19289933","40284821.61712338","42219512.996204615","43742499.45776247","45142201.91687481","46303233.18331296","47234396.38726011","47849052.20673108","48874390.973575525","50723917.4787762","52815140.344147764","54669020.40549898","56161775.85468552","57793927.57100299","58322638.24524517","58991614.723640114","59655736.43513204","59957418.85055516","60200949.76194678","60235939.73436235","60215275.55823516"
